title,category,confidence,timestamp,verified,processed
Počet obetí požiaru bytového komplexu v Hongkongu aj naďalej stúpa. Jedná sa o najsmrteľnejší požiar za posledné desaťročia,legitimate,0.5798113679220287,2025-12-03T14:50:42.031071,False,False
Vyšetrovacie operácie naprieč Nemeckom: Zadržali dvoch podozrivých členov Islamského štátu,legitimate,0.7557431645474778,2025-12-03T14:50:42.107911,False,False
Prvé priame rokovanie medzi Libanonom a Izraelom za posledné desaťročia. Prebehlo pod záštitou OSN,legitimate,0.8745453975406121,2025-12-03T14:50:42.196025,False,False
"Z bratislavského Mosta SNP skočila do Dunaja osoba, z vody ju vyťahovali hasiči",legitimate,0.4868544650077704,2025-12-03T14:50:42.280689,False,False
Knižné darčeky pre priateľov veršov a ducha,misleading,0.5854985988897519,2025-12-03T14:50:42.356270,False,False
Polícia evakuovala základnú školu v Uherskom Brode pre riziko výbuchu. V kabinete našli nebezpečnú látku,legitimate,0.6941617396348657,2025-12-03T14:50:42.446044,False,False
Liptovský Hrádok otvoril novú mestskú plaváreň za takmer štyri milióny eur,legitimate,0.8430378061858563,2025-12-03T14:50:42.529359,False,False
Európska komisia navrhla reparačnú pôžičku pre Ukrajinu. Chce použiť zmrazené ruské aktíva,legitimate,0.8175975157356823,2025-12-03T14:50:42.610202,False,False
Vyšehradská štvorka rokuje v Ostrihome. AI a zvýšenie konkurencieschopnosti v strednej Európe sú v popredí záujmu,legitimate,0.7711751924720132,2025-12-03T14:50:42.707948,False,False
Prezident Macron na návšteve Číny. Francúzska diplomacia sa zameriava na obchodné záležitosti a strategické partnerstvo,legitimate,0.7206644193290318,2025-12-03T14:50:42.794014,False,False
Belgicko odmietlo plán EÚ o zmrazených ruských aktívach. Minister Prévot upozorňuje na riziká,legitimate,0.8255445161900599,2025-12-03T14:50:42.916674,False,False
"Netflix, Edisonline či SkyShowtime? Spoznajte decembrové novinky na streamovacích platformách",clickbait,0.5432967923437086,2025-12-03T14:50:43.012498,False,False
Počet obetí povodní a zosuvov pôdy na ostrove Sumatra narastá. Tisícky ľudí sú bez domova,legitimate,0.6070808580251256,2025-12-03T14:50:43.098610,False,False
Izrael otvorí hraničný priechod Rafah pre Palestínčanov. Cieľom je koordinovaný odchod cez Egypt,legitimate,0.7030254923179423,2025-12-03T14:50:43.182275,False,False
Americká vláda zastavila spracovanie imigračných žiadostí z 19 krajín. Cieľom má byť zvýšenie bezpečnosti,legitimate,0.8091954029270633,2025-12-03T14:50:43.266969,False,False
Výrobné ceny v eurozóne aj v EÚ v októbri medzimesačne vzrástli,legitimate,0.5618580358833916,2025-12-03T14:50:43.344714,False,False
Vláda: Zvýšiť bezpečnosť na tratiach majú systém ETCS či kamery,legitimate,0.6072055351131074,2025-12-03T14:50:43.421650,False,False
"Bulharský prezident vyzval vládu na demisiu, žiada predčasné voľby",legitimate,0.5677492379385601,2025-12-03T14:50:43.501767,False,False
Súhrn vládou prerokovaných návrhov,legitimate,0.6247795460326655,2025-12-03T14:50:43.577390,False,False
Senica plánuje zrekonštruovať amfiteáter za takmer dva milióny eur,legitimate,0.4679440952778526,2025-12-03T14:50:43.652803,False,False
V Galérii Jána Koniarka otvoria výstavu laureátov Ceny Oskára Čepana,legitimate,0.8325407719177794,2025-12-03T14:50:43.775530,False,False
Piešťanský región prinesie návštevníkom vyše 120 sviatočných podujatí,legitimate,0.9334286602821394,2025-12-03T14:50:43.857136,False,False
"Vzácny list opisuje 4-ročného Mozarta, ako komponuje klavírny koncert",clickbait,0.5553647705074043,2025-12-03T14:50:43.945021,False,False
"Doplňujúce komunálne voľby budú v marci, konať sa majú v 11 obciach",legitimate,0.7211020145298008,2025-12-03T14:50:44.027866,False,False
ZÁCHRANNÁ AKCIA: Z Mosta SNP niekto skočil do Dunaja,clickbait,0.5123952083839172,2025-12-03T14:50:44.110476,False,False
Združenie obcí pripravuje výstavbu Tribečskej cyklomagistrály,legitimate,0.8959447190783101,2025-12-03T14:50:44.189531,False,False
Fico: Bez energopomoci by ceny plynu pre domácnosti stúpli o 30 %,biased,0.705486614310812,2025-12-03T14:50:44.268357,False,False
Szijjártó: Maďarsko napadne zákaz dovozu ruského plynu,biased,0.455921256086414,2025-12-03T14:50:44.352808,False,False
Raši: Slavkovský formát chce byť pri tvorbe pravidiel na úrovni EÚ,legitimate,0.667459831575656,2025-12-03T14:50:44.442639,False,False
"Vyšetrujú továreň, ktorá vyrába erotické bábiky s detským vzhľadom",clickbait,0.5796813227624408,2025-12-03T14:50:44.524471,False,False
Majiteľovi značky Zara sa darí napriek konkurencii zo strany predajcov lacnejšieho oblečenia,legitimate,0.6472020136563,2025-12-03T14:50:44.690042,False,False
"Regionálna železničná doprava bude ekologickejšia, ZSSK objednala dodávku elektro-batériových vlakov",legitimate,0.8313357832851421,2025-12-03T14:50:44.774900,False,False
"Slovensko, Česko a Rakúsko chcú pevnejšiu parlamentnú spoluprácu, Raši zdôrazňuje význam regiónu – VIDEO, FOTO",legitimate,0.896390526310702,2025-12-03T14:50:44.859631,False,False
"Chorvátskeho politika a jeho syna obvinili z výroby 1,3 milióna falošných testov na COVID-19",legitimate,0.5692911056892763,2025-12-03T14:50:44.946654,False,False
"Zabudnuté vianočné recepty: Pripravte si pochúťky, ktoré jedli naši prarodičia",clickbait,0.3781123350378864,2025-12-03T14:50:45.028419,False,False
"Migaľ vyzdvihol zrýchlenie čerpania eurofondov, záväzky pre rok 2025 sú splnené",legitimate,0.85176752485636,2025-12-03T14:50:45.106541,False,False
Kremeľ pre zákaz dovozu ruského plynu predpovedá Európskej únii úpadok,biased,0.6516191141725242,2025-12-03T14:50:45.183155,False,False
"Ľudia na Slovensku veria sile volieb, no boja sa o demokraciu",biased,0.2250951257290312,2025-12-03T14:50:45.262816,False,False
"Rubio: Rusko stráca 7-tisíc vojakov týždenne, vojna nedáva logiku",legitimate,0.5305910999030866,2025-12-03T14:50:45.344581,False,False
"Zahraničný výbor nepreberal Kaliňákovu delegáciu vo Vietname, nebol uznášaniaschopný – VIDEO",legitimate,0.7619082741870532,2025-12-03T14:50:45.431412,False,False
"Španielky obhájili titul v Lige národov, vo finále zdolali Nemky. Skórovali len hráčky FC Barcelona",legitimate,0.8330800390028272,2025-12-03T14:50:45.717112,False,False
"Dažďová voda v domácnosti. Môže prať, sprchovať aj splachovať. Dôležité je dôkladné čistenie",legitimate,0.3135305759741044,2025-12-03T14:50:45.798224,False,False
"Demokrati obvinili Huliakovo ministerstvo z masívneho plytvania, na odmeny a nájmy sa vraj míňajú stovky tisíc eur – VIDEO",biased,0.7108280607463938,2025-12-03T14:50:45.884957,False,False
"Calzona na rovinu o Pekaríkovi, Valjentovi či Makovi. Niké liga je podľa neho podpriemerná, kvalitu musí hľadať inde – FOTO",biased,0.5338899436655193,2025-12-03T14:50:45.988410,False,False
"Maslo je japonská senzácia o sériovej vrahyni, ktorá varí ako boh, a novinárke hľadajúcej pravdu",clickbait,0.228618714000311,2025-12-03T14:50:46.077163,False,False
Keď detská odvaha mení svet. Misia Láska opäť hitom medzi malými aj veľkými čitateľmi,clickbait,0.4927466422079786,2025-12-03T14:50:46.158006,False,False
"Hnutie Slovensko predložilo nový dôkaz o lustrovaní Šimečkovej matky, prípad prevzala krajská prokuratúra",legitimate,0.7667473575515202,2025-12-03T14:50:46.243538,False,False
"Leverkusen vyradil Dortmund z Nemeckého pohára, rozhodol Maza",legitimate,0.6942031831583414,2025-12-03T14:50:46.325105,False,False
"Najnovšie údaje ukazujú, že Primark napreduje v oblasti udržateľnosti aj vďaka prechodu na preferované materiály a cirkulárny dizajn",legitimate,0.6608301998662898,2025-12-03T14:50:46.414956,False,False
Prečo mačky milujú krabice? Vedci konečne prišli na odpoveď!,clickbait,0.6529684301006462,2025-12-03T14:50:46.492964,False,False
"Peskov poprel, že by Putin priamo zamietol americký plán na ukončenie vojny",legitimate,0.4294710076410106,2025-12-03T14:50:51.428688,False,False
"Poľský inštruktor v Tatrách vysekal lezecké istenie, prišiel o licenciu",legitimate,0.4822439052468493,2025-12-03T14:50:51.516694,False,False
"Bolo ich 11, nikto z nich už nebojuje. Reuters sledovala skupinu mladých ukrajinských dobrovoľníkov, zničila ich vojna",biased,0.2709529602954744,2025-12-03T14:50:51.611221,False,False
"Expert z Kyjeva tvrdí, že pred vpádom Rusov na Ukrajinu na jej území operovala maďarská tajná služba",conspiracy,0.5672649504892026,2025-12-03T14:50:51.695736,False,False
Záplavy na juhu Thajska si vyžiadali vyše 260 obetí,legitimate,0.6809201739269843,2025-12-03T14:50:51.773404,False,False
Povodne spôsobili za prvý polrok škody za takmer tri milióny eur. Najviac zasiahli Prešovský kraj,legitimate,0.6677804107563081,2025-12-03T14:50:51.860897,False,False
Oravské hradné bralo bude chráneným areálom,legitimate,0.8316259194439395,2025-12-03T14:50:51.934473,False,False
Po dlhej a ťažkej chorobe zomrel šéfredaktor SITA Martin Dargaj,legitimate,0.6312716469281324,2025-12-03T14:50:52.010693,False,False
"Vodiči, pozor. Na horskom priechode Šturec padajú skaly na vozovku",legitimate,0.4336555268821869,2025-12-03T14:50:52.091896,False,False
Juhokórejský prezident priznáva dilemu: chce sa ospravedlniť KĽDR za provokácie svojho predchodcu,legitimate,0.6097900574435849,2025-12-03T14:50:52.273549,False,False
Bývalú šéfku diplomacie EÚ Mogheriniovú obvinili z podvodu,legitimate,0.7057790973062897,2025-12-03T14:50:52.350312,False,False
"India chce od Ruska kúpiť ďalšie systémy S-400, Moskva to zvažuje",legitimate,0.5576206220969537,2025-12-03T14:50:52.429086,False,False
Ukrajina pri útoku v Rusku opäť zasiahla ropovod Družba,legitimate,0.7203471081870688,2025-12-03T14:50:52.503980,False,False
Maďarsko chce žalovať EÚ pre zákaz ruského plynu. Szijjártó sa na „boji proti diktátu" dohodol aj s Blanárom,biased,0.5364843582724038,2025-12-03T14:50:52.594512,False,False
Kto bude šéfovať Fedu?,misleading,0.7427208682682359,2025-12-03T14:50:52.662125,False,False
"Čína vyšetruje továreň, ktorá údajne vyrába erotické bábiky s detským vzhľadom",legitimate,0.2531327525571915,2025-12-03T14:50:52.739902,False,False
"Slovensko hlási najväčší pokles výrobných cien v EÚ, medziročne však mierne rástli",legitimate,0.5291317357891835,2025-12-03T14:50:52.817010,False,False
Zistenie HN: Komplikácie v starej energopomoci. Štát nečakane prestal platiť kompenzácie k cenám tepla,legitimate,0.7668979695504435,2025-12-03T14:50:52.899750,False,False
"Európska komisia navrhla reparačnú pôžičku pre Ukrajinu, použiť chce zmrazené ruské aktíva",legitimate,0.8527207652466986,2025-12-03T14:50:52.993521,False,False
Kráľ sa vracia na scénu. Bestseller od Cupry sa dočká verzie s ikonickým motorom,clickbait,0.4837720844734549,2025-12-03T14:50:53.073132,False,False
"Dubéci v HNtelevízii: Je to ináč. Benešove dekréty sú a budú, ale štát náhle siaha ľuďom na pozemky",biased,0.5154702797107419,2025-12-03T14:50:53.164816,False,False
"Slovensko zvažuje žalobu na EÚ pre zákaz ruského plynu, vláda si nechala vypracovať analýzu",legitimate,0.8396047573101362,2025-12-03T14:50:53.244568,False,False
Suskov rezort ukončil prijímanie podnetov k návrhu nového Občianskeho zákonníka,legitimate,0.6764738426561068,2025-12-03T14:50:53.320570,False,False
Belgicko stále odmieta plán EÚ použiť zmrazené ruské aktíva na podporu Ukrajiny,legitimate,0.7988406607245615,2025-12-03T14:50:53.404849,False,False
"Dialýzu na Slovensku potrebuje jedna skupina obyvateľstva čoraz viac, ukazujú údaje",misleading,0.2016147755006762,2025-12-03T14:50:53.566030,False,False
"Ukrajina podľa médií opäť zaútočila na ropovod Družba, ktorý zásobuje Slovensko a Maďarsko",legitimate,0.7983237096299213,2025-12-03T14:50:53.660557,False,False
"Kremeľ kritizuje zákaz ruského plynu, podľa Peskova sa EÚ sama odsúdila k drahším zdrojom",legitimate,0.7046825610790409,2025-12-03T14:50:53.747436,False,False
"Slovensko hľadá náhradu za ruský plyn. Prebiehajú rokovania o LNG z USA, informovala Saková",legitimate,0.7821380863676716,2025-12-03T14:50:53.826280,False,False
Desať veľkých európskych bánk sa spojilo. Chcú vytvoriť stablecoin viazaný na euro,legitimate,0.6559622643770041,2025-12-03T14:50:53.920286,False,False
"Oravské hradné bralo bude chráneným areálom, rozhodla vláda. Taraba zdôraznil bezpečnosť a opatrenia",legitimate,0.804477082078935,2025-12-03T14:50:54.004022,False,False
"Ukrajinský vyjednávač sa v Bruseli stretne s európskymi predstaviteľmi, uviedol Kyjev",legitimate,0.6550234296055591,2025-12-03T14:50:54.084713,False,False
Súkromný sektor eurozóny rástol najrýchlejším tempom za dva a pol roka,legitimate,0.5701029509251881,2025-12-03T14:50:54.160276,False,False
"Macron pricestoval do Pekingu, rokovať tam bude aj o aspektoch vojny na Ukrajine",legitimate,0.8627163713053684,2025-12-03T14:50:54.238705,False,False
Vláda schválila energopomoc. Hraničnú hodnotu bonity energetickej domácnosti stanovila na 1 930 eur za mesiac,legitimate,0.7583478513200644,2025-12-03T14:50:54.325124,False,False
"Trump chce oznámiť nového šéfa Fedu začiatkom roka, favoritom je Kevin Hassett",legitimate,0.6076400721937963,2025-12-03T14:50:54.406233,False,False
Belgicko odmieta návrhy Európskej komisie o využití zmrazených ruských aktív,legitimate,0.6812152232827053,2025-12-03T14:50:54.483090,False,False
"Sídlisko KVP chce zrevitalizovať trhovisko, projekt vyjde na vyše 400-tisíc eur",legitimate,0.7973508947505311,2025-12-03T14:50:54.570932,False,False
Modernizácia električkovej trate Nad jazerom si vyžiadala dopravné obmedzenia,legitimate,0.7528405766117482,2025-12-03T14:50:54.646782,False,False
Na diaľnici D1 zastavili štyri kamióny s nadrozmerným nákladom bez povolení,legitimate,0.476087898900698,2025-12-03T14:50:54.946317,False,False
Päť okresov východu prichádza o pomoc štátu. Kraj žiada revíziu zákona,legitimate,0.6865122868250548,2025-12-03T14:50:55.023514,False,False
Hasiči zasahovali pri požiari v zdravotníckom zariadení na Probstnerovej ceste v Levoči,legitimate,0.8073672135353779,2025-12-03T14:50:55.104250,False,False
Popradské Vianoce budú bohatšie. Mesto chystá 60 stánkov a rozšírený program,legitimate,0.8943362910401258,2025-12-03T14:50:55.187103,False,False
"V bytovom dome v Kráľovskom Chlmci vypukol požiar, na mieste sa nachádzali aj intoxikované osoby",legitimate,0.5541990988489941,2025-12-03T14:50:55.273743,False,False
Wizz Air rozširuje pôsobenie na Slovensku. V nasledujúcom roku spustí linku Košice – Rím,legitimate,0.8481849435288408,2025-12-03T14:50:55.803184,False,False
"Esbéeskárovi sa vyhrážal, že ho podreže aj s jeho rodinou. Dostal štyri mesiace väzenia",legitimate,0.5261056511432365,2025-12-03T14:50:56.201380,False,False
Miliónové nedoplatky štátu? Košičania prehodili firmu a podnikajú ďalej,misleading,0.2079155611445963,2025-12-03T14:50:58.201859,False,False
Železničná spoločnosť nakúpi batériové vlaky za 144 miliónov eur,legitimate,0.7623668559538543,2025-12-03T14:50:58.362368,False,False
"Prada kúpila svojho módneho konkurenta, značku Versace",legitimate,0.7203438417633301,2025-12-03T14:50:58.453264,False,False
Demokrati upozorňujú na rozsiahle plytvanie na ministerstve cestovného ruchu pod vedením Huliaka,biased,0.7524054767717535,2025-12-03T14:50:58.614895,False,False
"Slovenské firmy brzdí globálny útlm, zisky klesajú a konkurencia z Číny silnie",legitimate,0.4487771772012617,2025-12-03T14:50:58.706438,False,False
MIMORIADNE Vláda schválila akčný plán zvýšenia bezpečnosti na železnici,legitimate,0.7252354758948333,2025-12-03T14:50:46.584804,False,False
"Chystáte sa s deťmi presúvať na Vianoce vlakom? Zaručený spôsob, ako ich cestou zabavíte",clickbait,0.3935027926831536,2025-12-03T14:50:46.669447,False,False
Toto je rebríček najlepších slovenských nemocníc za rok 2025: Čo všetko hodnotili odborníci,clickbait,0.461884921837525,2025-12-03T14:50:46.751933,False,False
Polícia evakuuje školu v Uherskom Brode: Hrozí tu výbuch!,clickbait,0.7091702248824661,2025-12-03T14:50:46.832868,False,False
FOTO Expartneri Marek Fašiang a Tereza Bizíková opäť spolu: Spojila ich oslava dcérky,clickbait,0.7025444536887936,2025-12-03T14:50:46.922615,False,False
"V koalícii to opäť vrie: Hlas bojuje s rebelom, Smer stráži väčšinu a Danko odmieta Úrad vlády",biased,0.3739049728090844,2025-12-03T14:50:47.009715,False,False
"Dvojičky Julie Roberts sú dospelé, aha: Dcéra ako obrázok a syn? Jediný zdedil ikonické vlasy",clickbait,0.3837461231618675,2025-12-03T14:50:47.097533,False,False
Vláda reaguje na postupnú stopku ruskému plynu: Bude Slovensko podávať žalobu?,legitimate,0.7592213358846606,2025-12-03T14:50:47.178186,False,False
FOTO Speváčka Lucie Vondráčková: Rozchod s o 18 rokov mladším zajačikom!,clickbait,0.6211919665248703,2025-12-03T14:50:47.264117,False,False
Šimkovičová ako Lord Voldemort? Drlička dostal verdikt od súdu: Jej meno už nesmie vyslovovať!,clickbait,0.4201073843027236,2025-12-03T14:50:47.351697,False,False
MIMORIADNE Vláda schválila adresnú energopomoc: Bez nej by ceny stúpli o 22 až 30 percent!,clickbait,0.6247221022322413,2025-12-03T14:50:47.641774,False,False
"Mario Cimarro: Rozvod, zákaz priblíženia a teraz? Fanúšikom oznámil mimoriadne smutnú správu",clickbait,0.3347421068757804,2025-12-03T14:50:47.722408,False,False
